Month,all fuels (utility-scale) thousand megawatthours,coal_thousand_megawatthours,natural_gas_thousand_megawatthours
Nov 2020,301776.14056,61290.5806,107821.08662
Oct 2020,314400.6296,59840.43116,131643.68408
Sep 2020,334166.93992,68395.67702,141406.66981
Aug 2020,399812.46947,91164.99383,174129.84618
Jul 2020,414609.76856,89845.33355,185433.35809
Jun 2020,352966.79192,65274.37394,143179.90065
May 2020,304166.53228,46529.48478,115854.51716
Apr 2020,275762.7502,40593.38443,107928.92945
Mar 2020,306887.17303,50642.52179,123654.23429
Feb 2020,317853.44023,56100.73067,125554.40953
Jan 2020,340407.89975,65099.61685,133154.03605
Dec 2019,338253.04588,72580.7358,131830.2862
Nov 2019,315707.86888,75549.33833,117903.94667
Oct 2019,320250.12272,66777.23142,130940.66011
Sep 2019,360451.53599,85706.6908,149687.66149
Aug 2019,401396.9785,94039.70209,174955.37162
Jul 2019,409972.86752,100770.78509,171941.96069
Jun 2019,352928.01783,78539.50656,137827.80768
May 2019,330343.34819,71884.62512,117052.61532
Apr 2019,296601.7282,59922.45967,104053.16085
Mar 2019,326568.49637,78351.57142,115806.07243
Feb 2019,314951.10373,79929.40867,112135.47266
Jan 2019,359457.03015,100904.70457,121581.77667
Dec 2018,342139.11163,100318.60014,109801.97563
Nov 2018,322368.65684,92818.59372,108167.63501
Oct 2018,324931.94313,87263.62736,123142.23947
Sep 2018,356258.30168,96543.99239,141785.5277
Aug 2018,408027.7567,115129.45572,161676.24102
Jul 2018,411290.31965,115376.37644,164749.06024
Jun 2018,371885.76125,101503.42674,130826.39996
May 2018,338947.60558,85227.3,115283.9823
Apr 2018,300756.44042,73346.00643,98371.08027
Mar 2018,321546.95371,80625.66254,106523.77987
Feb 2018,306894.21345,82050.18241,98511.85154
Jan 2018,373230.27968,119284.11471,110292.90908
Dec 2017,350415.80801,106545.36665,111397.79204
Nov 2017,308052.3423,90986.33924,94928.34076
Oct 2017,318669.64922,89775.52365,106826.27512
Sep 2017,335914.91016,98202.04611,118035.85224
